hsi_id,vomitoxin_ppb
imagoai_corn_249,400.0
imagoai_corn_433,200.0
imagoai_corn_19,0.0
imagoai_corn_322,100.0
imagoai_corn_332,570.0
imagoai_corn_56,200.0
imagoai_corn_301,300.0
imagoai_corn_229,200.0
imagoai_corn_331,11500.0
imagoai_corn_132,1300.0
imagoai_corn_137,740.0
imagoai_corn_423,0.0
imagoai_corn_335,0.0
imagoai_corn_25,1000.0
imagoai_corn_464,300.0
imagoai_corn_247,200.0
imagoai_corn_237,4700.0
imagoai_corn_117,131000.0
imagoai_corn_42,100.0
imagoai_corn_220,0.0
imagoai_corn_176,1000.0
imagoai_corn_320,1100.0
imagoai_corn_153,110.0
imagoai_corn_231,0.0
imagoai_corn_227,300.0
imagoai_corn_417,0.0
imagoai_corn_203,1400.0
imagoai_corn_126,220.0
imagoai_corn_329,0.0
imagoai_corn_31,450.0
imagoai_corn_113,4400.0
imagoai_corn_470,300.0
imagoai_corn_271,810.0
imagoai_corn_140,2100.0
imagoai_corn_57,900.0
imagoai_corn_192,200.0
imagoai_corn_24,300.0
imagoai_corn_17,1200.0
imagoai_corn_265,90.0
imagoai_corn_66,2400.0
imagoai_corn_208,200.0
imagoai_corn_479,100.0
imagoai_corn_94,1200.0
imagoai_corn_253,700.0
imagoai_corn_266,900.0
imagoai_corn_23,510.0
imagoai_corn_222,0.0
imagoai_corn_261,200.0
imagoai_corn_426,100.0
imagoai_corn_5,1400.0
imagoai_corn_116,1200.0
imagoai_corn_45,520.0
imagoai_corn_16,300.0
imagoai_corn_462,0.0
imagoai_corn_357,500.0
imagoai_corn_3,1300.0
imagoai_corn_218,720.0
imagoai_corn_405,0.0
imagoai_corn_60,410.0
imagoai_corn_110,500.0
imagoai_corn_318,600.0
imagoai_corn_428,180.0
imagoai_corn_29,410.0
imagoai_corn_437,480.0
imagoai_corn_471,2100.0
imagoai_corn_26,200.0
imagoai_corn_7,500.0
imagoai_corn_453,0.0
imagoai_corn_108,8900.0
imagoai_corn_37,18000.0
imagoai_corn_157,1600.0
imagoai_corn_489,800.0
imagoai_corn_118,0.0
imagoai_corn_114,600.0
imagoai_corn_175,0.0
imagoai_corn_373,0.0
imagoai_corn_181,0.0
imagoai_corn_144,1100.0
imagoai_corn_369,6300.0
imagoai_corn_390,0.0
imagoai_corn_195,1500.0
imagoai_corn_404,30.0
imagoai_corn_275,3800.0
imagoai_corn_454,400.0
imagoai_corn_141,400.0
imagoai_corn_365,300.0
imagoai_corn_67,900.0
imagoai_corn_210,4200.0
imagoai_corn_168,1300.0
imagoai_corn_493,1900.0
imagoai_corn_375,0.0
imagoai_corn_400,300.0
imagoai_corn_272,90.0
imagoai_corn_109,380.0
imagoai_corn_248,0.0
imagoai_corn_145,300.0
imagoai_corn_92,8900.0
imagoai_corn_152,0.0
imagoai_corn_367,2100.0
imagoai_corn_467,800.0
imagoai_corn_83,300.0
imagoai_corn_245,3800.0
imagoai_corn_165,2700.0
imagoai_corn_163,300.0
imagoai_corn_199,4200.0
imagoai_corn_228,100.0
imagoai_corn_74,1400.0
imagoai_corn_478,400.0
imagoai_corn_358,8900.0
imagoai_corn_250,200.0
imagoai_corn_119,1400.0
imagoai_corn_310,200.0
imagoai_corn_299,320.0
imagoai_corn_255,3900.0
imagoai_corn_354,10100.0
imagoai_corn_399,500.0
imagoai_corn_225,1900.0
imagoai_corn_353,200.0
imagoai_corn_234,0.0
imagoai_corn_382,1100.0
imagoai_corn_274,1200.0
imagoai_corn_36,0.0
imagoai_corn_196,6700.0
imagoai_corn_139,600.0
imagoai_corn_364,18000.0
imagoai_corn_244,7500.0
imagoai_corn_439,100.0
imagoai_corn_286,1100.0
imagoai_corn_59,0.0
imagoai_corn_111,5200.0
imagoai_corn_436,5000.0
imagoai_corn_6,1100.0
imagoai_corn_360,0.0
imagoai_corn_346,0.0
imagoai_corn_338,0.0
imagoai_corn_158,5300.0
imagoai_corn_150,0.0
imagoai_corn_177,7000.0
imagoai_corn_393,770.0
imagoai_corn_184,300.0
imagoai_corn_449,400.0
imagoai_corn_10,0.0
imagoai_corn_380,2400.0
imagoai_corn_103,2100.0
imagoai_corn_81,5200.0
imagoai_corn_38,4300.0
imagoai_corn_314,110.0
imagoai_corn_167,30.0
imagoai_corn_469,0.0
imagoai_corn_296,1100.0
imagoai_corn_474,100.0
imagoai_corn_198,300.0
imagoai_corn_297,1300.0
imagoai_corn_416,0.0
imagoai_corn_146,14000.0
imagoai_corn_392,5800.0
imagoai_corn_147,270.0
imagoai_corn_447,500.0
imagoai_corn_287,4500.0
imagoai_corn_123,200.0
imagoai_corn_368,400.0
imagoai_corn_143,1400.0
imagoai_corn_239,300.0
imagoai_corn_442,7700.0
imagoai_corn_97,3100.0
imagoai_corn_407,4300.0
imagoai_corn_122,460.0
imagoai_corn_183,100.0
imagoai_corn_202,2100.0
imagoai_corn_246,500.0
imagoai_corn_305,17300.0
imagoai_corn_298,200.0
imagoai_corn_351,18100.0
imagoai_corn_386,800.0
imagoai_corn_395,0.0
imagoai_corn_284,800.0
imagoai_corn_125,400.0
imagoai_corn_302,1100.0
imagoai_corn_223,400.0
imagoai_corn_418,1600.0
imagoai_corn_219,300.0
imagoai_corn_129,0.0
imagoai_corn_443,0.0
imagoai_corn_289,500.0
imagoai_corn_444,700.0
imagoai_corn_376,800.0
imagoai_corn_291,200.0
imagoai_corn_355,850.0
imagoai_corn_294,600.0
imagoai_corn_396,0.0
imagoai_corn_340,0.0
imagoai_corn_112,86900.0
imagoai_corn_179,390.0
imagoai_corn_307,13400.0
imagoai_corn_432,300.0
imagoai_corn_487,0.0
imagoai_corn_481,6100.0
imagoai_corn_422,400.0
imagoai_corn_233,6800.0
imagoai_corn_311,40000.0
imagoai_corn_164,4700.0
imagoai_corn_136,100.0
imagoai_corn_197,18100.0
imagoai_corn_258,700.0
imagoai_corn_232,200.0
imagoai_corn_115,6300.0
imagoai_corn_120,119500.0
imagoai_corn_349,200.0
imagoai_corn_224,4100.0
imagoai_corn_402,3500.0
imagoai_corn_397,410.0
imagoai_corn_127,210.0
imagoai_corn_285,0.0
imagoai_corn_411,500.0
imagoai_corn_107,100.0
imagoai_corn_370,693.0
imagoai_corn_325,5300.0
imagoai_corn_133,0.0
imagoai_corn_452,1300.0
imagoai_corn_44,500.0
imagoai_corn_460,300.0
imagoai_corn_65,12800.0
imagoai_corn_283,100.0
imagoai_corn_85,6800.0
imagoai_corn_242,290.0
imagoai_corn_186,200.0
imagoai_corn_383,400.0
imagoai_corn_159,400.0
imagoai_corn_12,200.0
imagoai_corn_35,0.0
imagoai_corn_28,900.0
imagoai_corn_170,20000.0
imagoai_corn_142,10.0
imagoai_corn_398,500.0
imagoai_corn_342,300.0
imagoai_corn_221,600.0
imagoai_corn_95,0.0
imagoai_corn_51,100.0
imagoai_corn_240,6500.0
imagoai_corn_484,380.0
imagoai_corn_378,244.0
imagoai_corn_178,0.0
imagoai_corn_41,500.0
imagoai_corn_498,0.0
imagoai_corn_421,800.0
imagoai_corn_206,200.0
imagoai_corn_282,1200.0
imagoai_corn_254,700.0
imagoai_corn_412,300.0
imagoai_corn_4,220.0
imagoai_corn_256,0.0
imagoai_corn_448,400.0
imagoai_corn_100,0.0
imagoai_corn_226,200.0
imagoai_corn_429,800.0
imagoai_corn_213,0.0
imagoai_corn_171,1700.0
imagoai_corn_98,0.0
imagoai_corn_292,400.0
imagoai_corn_215,2800.0
imagoai_corn_61,500.0
imagoai_corn_47,0.0
imagoai_corn_32,0.0
imagoai_corn_267,200.0
imagoai_corn_327,610.0
imagoai_corn_200,5600.0
imagoai_corn_446,400.0
imagoai_corn_27,1300.0
imagoai_corn_424,560.0
imagoai_corn_230,18100.0
imagoai_corn_260,3600.0
imagoai_corn_288,600.0
imagoai_corn_162,3700.0
imagoai_corn_425,200.0
imagoai_corn_138,500.0
imagoai_corn_62,2900.0
imagoai_corn_135,8900.0
imagoai_corn_128,100.0
imagoai_corn_476,500.0
imagoai_corn_8,100.0
imagoai_corn_326,4600.0
imagoai_corn_463,100.0
imagoai_corn_64,2900.0
imagoai_corn_300,900.0
imagoai_corn_14,100.0
imagoai_corn_156,0.0
imagoai_corn_40,600.0
imagoai_corn_379,140.0
imagoai_corn_468,620.0
imagoai_corn_403,200.0
imagoai_corn_216,500.0
imagoai_corn_279,0.0
imagoai_corn_434,0.0
imagoai_corn_430,20.0
imagoai_corn_337,0.0
imagoai_corn_236,800.0
imagoai_corn_207,2800.0
imagoai_corn_212,2700.0
imagoai_corn_295,5500.0
imagoai_corn_457,3100.0
imagoai_corn_251,100.0
imagoai_corn_488,0.0
imagoai_corn_486,100.0
imagoai_corn_303,1500.0
imagoai_corn_350,2800.0
imagoai_corn_269,760.0
imagoai_corn_201,0.0
imagoai_corn_161,0.0
imagoai_corn_43,1300.0
imagoai_corn_217,400.0
imagoai_corn_401,800.0
imagoai_corn_190,0.0
imagoai_corn_309,5000.0
imagoai_corn_259,500.0
imagoai_corn_105,90.0
imagoai_corn_53,4800.0
imagoai_corn_389,500.0
imagoai_corn_1,1000.0
imagoai_corn_441,86900.0
imagoai_corn_482,4000.0
imagoai_corn_49,0.0
imagoai_corn_419,1700.0
imagoai_corn_80,86900.0
imagoai_corn_205,23000.0
imagoai_corn_34,500.0
imagoai_corn_263,856.0
imagoai_corn_427,4500.0
imagoai_corn_366,280.0
imagoai_corn_91,0.0
imagoai_corn_339,0.0
imagoai_corn_473,250.0
imagoai_corn_52,200.0
imagoai_corn_345,160.0
imagoai_corn_264,100.0
imagoai_corn_241,4300.0
imagoai_corn_13,1000.0
imagoai_corn_315,0.0
imagoai_corn_88,200.0
imagoai_corn_387,2500.0
imagoai_corn_166,800.0
imagoai_corn_328,7200.0
imagoai_corn_492,0.0
imagoai_corn_134,0.0
imagoai_corn_480,4500.0
imagoai_corn_319,400.0
imagoai_corn_243,500.0
imagoai_corn_395,0.0
imagoai_corn_363,0.0
imagoai_corn_50,5300.0
imagoai_corn_456,6900.0
imagoai_corn_174,5300.0
imagoai_corn_445,0.0
imagoai_corn_189,0.0
imagoai_corn_496,0.0
imagoai_corn_187,200.0
imagoai_corn_169,3500.0
imagoai_corn_58,7900.0
imagoai_corn_48,2200.0
imagoai_corn_344,500.0
imagoai_corn_235,300.0
imagoai_corn_252,5800.0
imagoai_corn_21,1200.0
imagoai_corn_313,2500.0
imagoai_corn_459,1500.0
imagoai_corn_160,7000.0
imagoai_corn_276,200.0
imagoai_corn_443,0.0
imagoai_corn_191,7700.0
imagoai_corn_385,300.0
imagoai_corn_293,0.0
imagoai_corn_413,980.0
imagoai_corn_343,1900.0
imagoai_corn_257,0.0
imagoai_corn_385,300.0
imagoai_corn_149,0.0
imagoai_corn_130,800.0
imagoai_corn_151,370.0
imagoai_corn_359,130.0
imagoai_corn_99,0.0
imagoai_corn_372,4600.0
imagoai_corn_87,0.0
imagoai_corn_458,200.0
imagoai_corn_330,0.0
imagoai_corn_214,2600.0
imagoai_corn_466,900.0
imagoai_corn_121,5300.0
imagoai_corn_499,1400.0
imagoai_corn_20,300.0
imagoai_corn_188,1200.0
imagoai_corn_71,2100.0
imagoai_corn_106,500.0
imagoai_corn_270,100.0
imagoai_corn_348,2100.0
imagoai_corn_435,400.0
imagoai_corn_102,1900.0
